Item Category,Item Name,Item Quality,StatTrak?,Souvenir?,Item Exterior,Lowest Listing Price ($),Steam Market Link
Nomad Knife,Urban Masked,Covert Knife,False,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Minimal%20Wear%29
Nomad Knife,Urban Masked,Covert Knife,False,False,Field-Tested,$132.97,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Field-Tested%29
Nomad Knife,Urban Masked,Covert Knife,False,False,Well-Worn,$110.17,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Well-Worn%29
Nomad Knife,Urban Masked,Covert Knife,False,False,Battle-Scarred,$116.69,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Battle-Scarred%29
Nomad Knife,Safari Mesh,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Factory%20New%29
Nomad Knife,Safari Mesh,Covert Knife,True,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Minimal%20Wear%29
Nomad Knife,Safari Mesh,Covert Knife,True,False,Field-Tested,$108.81,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Field-Tested%29
Nomad Knife,Safari Mesh,Covert Knife,True,False,Well-Worn,$132.56,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Well-Worn%29
Nomad Knife,Safari Mesh,Covert Knife,True,False,Battle-Scarred,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Battle-Scarred%29
Nomad Knife,Safari Mesh,Covert Knife,False,False,Factory New,$261.56,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Factory%20New%29
Nomad Knife,Safari Mesh,Covert Knife,False,False,Minimal Wear,$124.20,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Minimal%20Wear%29
Nomad Knife,Safari Mesh,Covert Knife,False,False,Field-Tested,$104.47,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Field-Tested%29
Nomad Knife,Safari Mesh,Covert Knife,False,False,Well-Worn,$110.11,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Well-Worn%29
Nomad Knife,Safari Mesh,Covert Knife,False,False,Battle-Scarred,$100.00,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Safari%20Mesh%20%28Battle-Scarred%29
Skeleton Knife,Vanilla,Covert Knife,True,False,Vanilla,$860.00,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Skeleton%20Knife
Skeleton Knife,Vanilla,Covert Knife,False,False,Vanilla,$775.00,https://steamcommunity.com/market/listings/730/%E2%98%85%20Skeleton%20Knife
Skeleton Knife,Slaughter,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Skeleton%20Knife%20%7C%20Slaughter%20%28Factory%20New%29
Skeleton Knife,Slaughter,Covert Knife,True,False,Minimal Wear,"$1,460.19",https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Skeleton%20Knife%20%7C%20Slaughter%20%28Minimal%20Wear%29
Skeleton Knife,Slaughter,Covert Knife,True,False,Field-Tested,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Skeleton%20Knife%20%7C%20Slaughter%20%28Field-Tested%29
Skeleton Knife,Slaughter,Covert Knife,False,False,Factory New,"$1,638.55",https://steamcommunity.com/market/listings/730/%E2%98%85%20Skeleton%20Knife%20%7C%20Slaughter%20%28Factory%20New%29
Skeleton Knife,Slaughter,Covert Knife,False,False,Minimal Wear,"$1,039.91",https://steamcommunity.com/market/listings/730/%E2%98%85%20Skeleton%20Knife%20%7C%20Slaughter%20%28Minimal%20Wear%29
Skeleton Knife,Slaughter,Covert Knife,False,False,Field-Tested,$921.20,https://steamcommunity.com/market/listings/730/%E2%98%85%20Skeleton%20Knife%20%7C%20Slaughter%20%28Field-Tested%29
Skeleton Knife,Crimson Web,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Skeleton%20Knife%20%7C%20Crimson%20Web%20%28Factory%20New%29
Skeleton Knife,Crimson Web,Covert Knife,True,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Skeleton%20Knife%20%7C%20Crimson%20Web%20%28Minimal%20Wear%29
Skeleton Knife,Crimson Web,Covert Knife,True,False,Field-Tested,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Skeleton%20Knife%20%7C%20Crimson%20Web%20%28Field-Tested%29
Skeleton Knife,Crimson Web,Covert Knife,True,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Skeleton%20Knife%20%7C%20Crimson%20Web%20%28Well-Worn%29
